date,Region_1_Store_1,Region_1_Store_10,Region_1_Store_11,Region_1_Store_12,Region_1_Store_13,Region_1_Store_14,Region_1_Store_15,Region_1_Store_16,Region_1_Store_17,Region_1_Store_18,Region_1_Store_19,Region_1_Store_2,Region_1_Store_20,Region_1_Store_3,Region_1_Store_4,Region_1_Store_5,Region_1_Store_6,Region_1_Store_7,Region_1_Store_8,Region_1_Store_9,Region_2_Store_1,Region_2_Store_10,Region_2_Store_11,Region_2_Store_12,Region_2_Store_13,Region_2_Store_14,Region_2_Store_15,Region_2_Store_16,Region_2_Store_17,Region_2_Store_18,Region_2_Store_19,Region_2_Store_2,Region_2_Store_20,Region_2_Store_3,Region_2_Store_4,Region_2_Store_5,Region_2_Store_6,Region_2_Store_7,Region_2_Store_8,Region_2_Store_9,Region_3_Store_1,Region_3_Store_10,Region_3_Store_11,Region_3_Store_12,Region_3_Store_13,Region_3_Store_14,Region_3_Store_15,Region_3_Store_16,Region_3_Store_17,Region_3_Store_18,Region_3_Store_19,Region_3_Store_2,Region_3_Store_20,Region_3_Store_3,Region_3_Store_4,Region_3_Store_5,Region_3_Store_6,Region_3_Store_7,Region_3_Store_8,Region_3_Store_9,Region_4_Store_1,Region_4_Store_10,Region_4_Store_11,Region_4_Store_12,Region_4_Store_13,Region_4_Store_14,Region_4_Store_15,Region_4_Store_16,Region_4_Store_17,Region_4_Store_18,Region_4_Store_19,Region_4_Store_2,Region_4_Store_20,Region_4_Store_3,Region_4_Store_4,Region_4_Store_5,Region_4_Store_6,Region_4_Store_7,Region_4_Store_8,Region_4_Store_9,Region_5_Store_1,Region_5_Store_10,Region_5_Store_11,Region_5_Store_12,Region_5_Store_13,Region_5_Store_14,Region_5_Store_15,Region_5_Store_16,Region_5_Store_17,Region_5_Store_18,Region_5_Store_19,Region_5_Store_2,Region_5_Store_20,Region_5_Store_3,Region_5_Store_4,Region_5_Store_5,Region_5_Store_6,Region_5_Store_7,Region_5_Store_8,Region_5_Store_9
2018-01-01,155.5,298.57,254.35,276.49,98.26,122.1,337.7,292.97,311.08,92.94,223.62,311.19,271.96,98.66,235.72,301.54,170.33,83.59,297.25,217.28,236.04,263.23,285.47,239.17,86.95,236.42,118.14,100.92,313.4,199.37,191.1,203.31,281.76,69.76,77.45,321.32,263.64,93.36,263.8,255.94,230.99,311.9,118.51,281.69,133.12,128.98,308.73,147.15,261.08,140.53,168.23,132.5,149.15,279.09,94.74,153.96,170.27,182.32,96.46,284.52,114.56,102.53,48.4,124.51,254.99,172.5,259.85,271.68,134.81,114.74,266.92,187.75,204.49,360.43,348.18,180.24,244.53,215.9,295.73,268.02,285.6,179.75,284.19,277.21,280.75,147.14,255.24,85.86,84.28,86.19,236.4,78.48,163.81,115.6,126.05,279.12,269.05,210.65,153.9,333.98
2018-01-02,154.27,302.11,265.04,313.88,98.45,124.62,308.25,295.28,240.6,58.12,201.74,259.47,181.87,95.87,257.89,326.61,166.58,54.72,299.29,218.17,227.25,277.12,295.17,204.44,89.13,246.6,111.48,107.47,303.27,180.24,189.43,178.83,293.92,97.33,103.19,332.9,266.96,127.0,285.0,248.42,252.21,315.55,102.14,299.6,158.71,146.35,302.3,148.99,273.54,127.77,150.63,125.26,93.57,255.73,97.24,180.78,191.35,198.87,113.85,296.19,140.4,95.22,95.9,126.27,234.49,209.19,267.65,288.49,133.36,126.88,274.57,179.81,232.23,263.66,315.16,186.16,321.74,267.4,306.14,252.49,299.56,169.0,296.98,335.01,291.64,133.6,255.43,89.02,115.04,140.9,226.45,74.02,90.6,73.58,105.02,301.08,311.46,240.35,164.57,314.56
2018-01-03,159.9,305.49,253.19,257.95,97.15,122.68,293.61,264.75,325.48,62.83,218.88,295.35,249.84,85.7,299.39,319.23,172.57,64.64,306.23,253.35,220.73,278.71,276.5,192.92,81.17,244.01,82.95,104.17,306.97,182.29,184.12,232.16,326.24,89.05,105.72,317.18,260.68,105.54,249.66,255.25,326.19,309.88,83.74,297.02,151.05,102.01,302.42,156.29,245.96,124.48,175.59,125.66,77.83,266.85,119.38,167.57,224.32,192.26,111.33,300.92,114.68,118.52,75.66,136.07,247.13,197.31,269.74,246.95,141.88,112.82,262.25,176.52,227.63,286.89,301.1,182.21,294.0,176.49,321.83,267.34,325.84,167.09,289.03,307.85,286.35,169.94,300.01,93.85,112.04,91.6,234.73,78.42,123.96,104.83,129.78,315.54,288.26,190.17,159.46,310.01
2018-01-04,147.15,313.56,282.68,337.71,93.95,121.61,317.14,288.07,289.15,108.92,211.81,284.93,248.88,103.11,281.57,277.71,166.44,80.9,305.28,248.45,236.94,271.36,279.67,165.14,106.16,280.47,122.06,97.79,292.0,155.99,197.38,224.38,260.29,88.44,88.73,309.19,260.1,131.15,254.34,255.13,291.07,302.37,77.7,288.59,157.16,95.46,315.13,155.87,226.73,111.47,156.81,131.57,104.94,287.93,71.13,159.86,218.28,162.23,92.56,320.21,119.86,111.86,65.19,192.82,252.54,203.85,258.18,249.36,134.11,131.9,269.14,175.14,246.18,300.16,254.16,157.78,207.76,218.35,309.2,258.56,309.9,166.06,286.72,254.11,303.53,160.39,278.85,82.47,98.83,79.48,244.45,93.4,130.93,146.59,143.96,319.18,291.79,228.69,154.97,352.24
2018-01-05,140.83,303.13,281.77,289.31,86.38,123.6,313.54,264.68,282.81,67.72,232.62,260.9,269.57,122.15,310.03,306.97,160.36,128.87,272.32,235.49,207.5,263.62,272.37,220.55,86.68,236.64,121.65,114.23,285.1,191.47,179.84,222.18,280.09,81.95,67.75,312.64,263.43,116.25,253.97,249.69,324.13,300.91,122.46,289.16,115.93,118.56,295.51,155.88,262.84,99.22,139.52,125.05,7.72,262.32,101.32,164.58,194.71,196.68,86.77,310.6,127.66,99.43,61.03,150.45,245.12,185.82,253.63,241.89,131.77,100.54,261.79,158.97,198.33,329.51,271.26,188.24,291.86,222.58,307.78,242.47,289.33,163.59,289.74,272.37,283.01,127.47,248.16,92.88,101.59,82.08,189.23,72.32,96.68,34.02,188.84,300.47,344.11,209.57,157.8,320.93
2018-01-06,148.21,313.66,261.35,327.78,90.63,109.56,330.03,281.66,301.52,67.73,202.14,258.83,247.02,85.02,295.04,296.86,162.92,85.82,309.17,213.42,202.24,272.49,279.91,225.98,95.12,245.38,132.26,90.79,298.65,187.34,192.18,204.51,256.92,70.88,95.93,298.95,253.61,106.23,263.19,251.13,246.66,301.42,77.92,288.55,158.21,122.27,297.9,143.75,264.69,104.84,153.34,112.18,134.86,254.44,41.74,160.51,207.45,184.97,94.73,356.56,102.49,89.5,67.41,145.87,235.71,194.3,255.15,256.94,133.8,101.6,267.47,167.44,193.36,289.04,295.79,148.5,295.76,182.11,293.0,234.32,264.4,165.59,279.46,268.58,285.77,116.46,294.58,91.83,118.4,72.35,234.28,76.74,135.92,71.24,116.33,336.44,340.69,192.12,161.05,314.28
2018-01-07,157.53,307.37,263.07,308.73,88.67,105.24,291.26,269.76,257.05,104.66,205.3,306.38,270.04,102.28,304.61,283.91,170.72,94.11,300.6,248.88,220.87,272.87,296.99,191.83,47.32,250.29,60.45,98.82,284.81,180.97,174.06,215.86,291.52,85.96,77.53,325.3,253.01,115.47,274.97,250.49,272.62,297.73,103.34,280.7,141.38,110.96,302.27,149.56,238.37,101.47,125.82,122.09,131.76,256.71,67.79,164.26,184.08,168.54,93.14,270.11,124.57,111.12,82.26,163.44,243.97,171.03,266.19,285.63,136.61,126.73,267.33,160.83,201.1,326.59,292.6,174.78,286.85,278.36,317.06,304.94,302.95,171.63,284.26,269.77,293.48,146.24,255.41,91.81,130.6,102.29,213.91,68.91,76.35,142.34,94.14,305.75,332.67,204.76,146.63,299.45
2018-01-08,138.8,304.72,275.95,303.53,84.63,88.5,292.68,270.64,305.59,59.93,236.44,317.26,224.87,71.45,272.75,312.22,169.22,90.97,286.13,266.0,247.46,265.05,298.55,211.88,106.96,253.87,117.12,159.49,304.39,209.31,182.52,236.23,262.61,60.96,96.38,332.11,251.5,89.79,287.36,258.49,271.5,332.53,74.43,287.29,138.82,103.73,308.18,139.67,263.47,98.58,149.65,125.73,91.04,288.98,46.15,159.96,264.83,189.74,106.62,272.89,136.81,114.61,86.38,168.26,250.25,192.58,257.98,211.61,138.31,118.4,265.1,179.69,193.07,264.6,281.91,171.81,279.88,273.76,308.88,349.92,309.6,170.13,273.07,288.27,298.3,153.09,314.24,92.44,93.23,112.28,267.44,76.49,123.83,151.12,127.26,263.55,328.14,169.32,169.2,302.22
2018-01-09,164.36,312.38,291.89,300.89,102.12,119.43,283.87,276.91,271.13,96.4,202.9,281.14,266.06,81.63,312.36,304.13,177.72,59.07,335.44,254.35,252.29,293.25,304.96,239.13,89.75,290.89,102.95,164.06,318.05,192.92,177.13,272.47,304.12,98.45,86.25,326.01,276.36,137.05,331.77,260.05,252.09,325.64,83.26,294.69,134.08,94.02,311.87,140.14,261.66,146.45,155.5,139.09,83.65,243.01,71.58,160.98,252.16,190.14,98.43,300.9,146.79,133.3,88.83,167.21,249.83,191.33,260.96,287.8,153.07,129.48,273.65,190.68,218.79,339.55,278.46,187.35,304.57,256.06,303.1,345.18,294.65,181.79,293.08,297.68,288.06,186.63,266.64,102.45,114.03,136.93,235.79,65.33,104.19,88.55,86.71,323.44,319.9,188.91,164.39,297.58
2018-01-10,161.63,314.27,281.18,360.11,99.52,131.98,315.09,269.92,240.5,92.27,229.05,287.69,285.07,107.94,321.53,305.54,169.67,98.36,302.85,237.64,214.11,243.21,296.53,216.87,84.15,229.81,131.46,174.88,312.62,199.62,187.96,186.25,208.68,90.92,97.57,287.78,254.73,117.22,274.15,260.06,235.62,333.68,96.42,297.09,141.68,127.49,318.08,152.7,256.93,145.01,148.57,135.8,169.48,252.37,95.02,191.13,192.47,191.45,109.8,320.42,126.25,76.38,11.17,182.08,248.24,184.59,259.07,298.61,146.06,126.9,273.2,187.38,222.31,334.59,310.11,189.06,288.96,270.66,325.73,249.63,294.4,175.19,288.68,286.69,310.76,203.07,263.32,95.45,93.13,137.14,276.62,97.71,109.4,152.44,125.72,322.42,329.19,208.7,160.59,330.67
